ID,Respondent Profile (Hidden),1. How did you hear about AI Janala?,2. Which language did you use in the chat?,3. What device were you on?,4. What did you ask about?,5. How clear was the answer you got?,6. How much did you trust the answer was accurate?,"7. Was anything confusing, wrong, or missing?",8. Would you recommend this to a friend or family member?,9. What is one thing that would make this more useful for you?,10. Age range and district or city
397,BCS Cadre,Friend or family,Bengali,Phone,What AI is,4,3,A bit confusing on specific government policies.,Yes,Offline support through SMS,"46-55, Barishal"
398,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Education for kids),5,5,All good.,Yes,Include more local examples,"36-50, Rangpur"
399,Small Business Owner,Friend or family,Bengali,Laptop or desktop,Something else (How to grow business),2,3,Did not fully grasp the regional context.,No,Add voice input in Bengali,"25-35, Mymensingh"
400,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),5,4,A bit confusing on specific government policies.,Yes,Offline support through SMS,"50+, Bogura"
401,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,What AI is,5,4,,Yes,Provide business advice in simple Bangla,"50+, Chattogram"
402,Small Business Owner,Friend or family,Both,Phone,Something else (Marketing),3,4,Missed some local Bangladesh context.,Yes,Offline support through SMS,"36-50, Rajshahi"
403,IT Professional,Friend or family,English,Laptop or desktop,Something else (Code generation),5,2,A bit confusing on specific government policies.,Yes,API access,"41-50, Dhaka"
404,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),2,3,Did not fully grasp the regional context.,Yes,Offline support through SMS,"50+, Rajshahi"
405,IT Professional,Other,English,Laptop or desktop,Something else (Code generation),3,4,A bit confusing on specific government policies.,Yes,Better regional language understanding,"22-30, Chattogram"
406,IT Professional,LinkedIn,English,Laptop or desktop,AI and jobs,4,4,,Yes,Better regional language understanding,"41-50, Dhaka"
407,Housewife,Friend or family,Bengali,Phone,What AI is,3,5,Could be simpler.,Yes,Make it faster,"50+, Barishal"
408,BCS Cadre,LinkedIn,English,Phone,AI and jobs,3,4,Missed some local Bangladesh context.,Maybe,Include more local examples,"36-45, Rajshahi"
409,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),4,5,Missed some local Bangladesh context.,Yes,Provide business advice in simple Bangla,"36-50, Dhaka"
410,Small Business Owner,Other,Bengali,Phone,Something else (How to grow business),4,4,,Yes,Add voice input in Bengali,"36-50, Mymensingh"
411,Banker,LinkedIn,Both,Phone,AI and jobs,3,2,,No,Offline support through SMS,"46-55, Sylhet"
412,Student,Facebook/WhatsApp,Both,Laptop or desktop,AI and jobs,3,3,,No,Help with specific university subjects,"18-24, Chattogram"
413,Small Business Owner,Friend or family,Both,Phone,What AI is,3,5,Missed some local Bangladesh context.,No,Provide business advice in simple Bangla,"50+, Barishal"
414,BCS Cadre,Facebook/WhatsApp,English,Laptop or desktop,AI in government or policy,3,3,,Yes,Include more local examples,"46-55, Chattogram"
415,Banker,LinkedIn,English,Laptop or desktop,AI in government or policy,3,5,,Maybe,Make it faster,"36-45, Dhaka"
416,Housewife,Friend or family,Bengali,Phone,What AI is,3,3,Missed some local Bangladesh context.,No,Make it faster,"50+, Dhaka"
417,Small Business Owner,Facebook/WhatsApp,Bengali,Tablet,Something else (How to grow business),5,5,"Nothing, it was very clear.",Yes,Make it faster,"25-35, Rangpur"
418,Banker,LinkedIn,Bengali,Phone,Something else (Banking automation),5,3,,Yes,Add voice input in Bengali,"46-55, Dhaka"
419,Student,Facebook/WhatsApp,Both,Phone,Something else (Scholarships/Studies),5,4,,Yes,Offline support through SMS,"18-24, Khulna"
420,BCS Cadre,LinkedIn,Both,Phone,AI in government or policy,4,3,,Yes,Ensure strict data privacy,"28-35, Chattogram"
421,Student,University,Both,Phone,AI and jobs,5,4,Missed some local Bangladesh context.,Maybe,Information on scholarships,"20-25, Rajshahi"
422,BCS Cadre,Friend or family,English,Phone,AI in government or policy,3,3,,Maybe,Include more local examples,"28-35, Rangpur"
423,IT Professional,LinkedIn,Both,Laptop or desktop,AI in government or policy,4,3,Missed some local Bangladesh context.,Yes,More technical depth,"41-50, Chattogram"
424,Student,University,Both,Phone,Something else (Scholarships/Studies),4,4,Could be simpler.,Yes,Include more local examples,"20-25, Mymensingh"
425,BCS Cadre,Friend or family,English,Phone,AI in government or policy,5,5,All good.,Yes,Add voice input in Bengali,"28-35, Dhaka"
426,Student,Facebook/WhatsApp,Both,Phone,AI and jobs,5,5,,Maybe,Make it faster,"20-25, Rajshahi"
427,Small Business Owner,Friend or family,Bengali,Phone,Something else (How to grow business),3,5,Missed some local Bangladesh context.,Maybe,Include more local examples,"25-35, Dhaka"
428,Student,University,Both,Laptop or desktop,What AI is,5,5,"No, it was helpful.",Yes,Better regional language understanding,"19-23, Rajshahi"
429,Small Business Owner,Other,Bengali,Phone,Something else (How to grow business),5,4,Missed some local Bangladesh context.,Yes,Include more local examples,"50+, Rangpur"
430,BCS Cadre,Friend or family,Both,Phone,AI in government or policy,3,3,A bit confusing on specific government policies.,No,Make it faster,"46-55, Khulna"
431,BCS Cadre,Facebook/WhatsApp,English,Laptop or desktop,AI in government or policy,4,5,Could be simpler.,Yes,Integrate directly with MOPA guidelines,"28-35, Chattogram"
432,Student,Facebook/WhatsApp,Both,Phone,AI and jobs,5,4,Could be simpler.,Yes,Better regional language understanding,"19-23, Barishal"
433,Housewife,Facebook/WhatsApp,Bengali,Phone,What AI is,5,5,,Yes,Add voice input in Bengali,"50+, Rangpur"
434,IT Professional,LinkedIn,English,Laptop or desktop,Something else (Code generation),4,2,A bit confusing on specific government policies.,Yes,API access,"31-40, Dhaka"
435,Student,Facebook/WhatsApp,Both,Laptop or desktop,What AI is,3,4,Could be simpler.,Yes,Offline support through SMS,"19-23, Khulna"
436,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Education for kids),4,5,Could be simpler.,Yes,Better regional language understanding,"25-35, Dhaka"
437,Small Business Owner,Other,Both,Phone,What AI is,2,3,Some Bengali phrasing was slightly unnatural.,No,Make it faster,"25-35, Rangpur"
438,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),4,5,,Yes,Add voice input in Bengali,"50+, Dhaka"
439,Student,Facebook/WhatsApp,English,Phone,AI and jobs,3,3,A bit confusing on specific government policies.,Maybe,Add voice input in Bengali,"18-24, Barishal"
440,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Daily life),5,4,A bit confusing on specific government policies.,Yes,Make it faster,"50+, Bogura"
441,Student,Facebook/WhatsApp,Bengali,Phone,AI and jobs,3,3,Could be simpler.,No,Include more local examples,"20-25, Cumilla"
442,BCS Cadre,Facebook/WhatsApp,Both,Phone,AI in government or policy,3,5,A bit confusing on specific government policies.,Yes,Better regional language understanding,"28-35, Rajshahi"
443,Small Business Owner,Friend or family,Bengali,Tablet,Something else (Marketing),2,3,Some Bengali phrasing was slightly unnatural.,Maybe,Make it faster,"25-35, Barishal"
444,Banker,LinkedIn,Both,Laptop or desktop,AI and jobs,5,3,,Maybe,Better regional language understanding,"36-45, Dhaka"
445,Housewife,Other,Bengali,Phone,Something else (Education for kids),4,4,,Maybe,Add voice input in Bengali,"50+, Barishal"
446,IT Professional,LinkedIn,English,Phone,What AI is,5,3,,Yes,Add voice input in Bengali,"31-40, Dhaka"
447,Banker,LinkedIn,Both,Laptop or desktop,Something else (Banking automation),3,2,A bit confusing on specific government policies.,Maybe,More accurate financial terminology in Bengali,"36-45, Chattogram"
448,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Daily life),3,4,A bit confusing on specific government policies.,Maybe,Better regional language understanding,"25-35, Rangpur"
449,IT Professional,LinkedIn,Both,Laptop or desktop,Something else (Code generation),3,4,A bit confusing on specific government policies.,Maybe,Offline support through SMS,"31-40, Dhaka"
450,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Daily life),4,3,,Yes,Offline support through SMS,"50+, Sylhet"
451,Small Business Owner,Friend or family,Bengali,Phone,What AI is,2,5,Some Bengali phrasing was slightly unnatural.,Yes,Make it faster,"36-50, Sylhet"
452,Student,University,Both,Phone,What AI is,5,5,,Yes,Make it faster,"18-24, Rajshahi"
453,BCS Cadre,LinkedIn,Bengali,Laptop or desktop,AI and jobs,4,3,,Maybe,Make it faster,"46-55, Barishal"
454,Student,Facebook/WhatsApp,English,Phone,AI and jobs,5,5,"Nothing, it was very clear.",Yes,Add voice input in Bengali,"20-25, Cumilla"
455,IT Professional,LinkedIn,English,Laptop or desktop,Something else (Code generation),4,4,Missed some local Bangladesh context.,Yes,Better regional language understanding,"41-50, Dhaka"
456,Banker,LinkedIn,Both,Phone,AI in government or policy,4,2,Could be simpler.,Maybe,Include more local examples,"25-35, Dhaka"
457,BCS Cadre,Friend or family,Bengali,Tablet,AI and jobs,5,3,,Yes,Ensure strict data privacy,"36-45, Khulna"
458,Banker,LinkedIn,English,Phone,Something else (Banking automation),3,5,Missed some local Bangladesh context.,Maybe,Offline support through SMS,"36-45, Dhaka"
459,IT Professional,LinkedIn,English,Tablet,Something else (Code generation),4,3,,Yes,More technical depth,"22-30, Dhaka"
460,Banker,Facebook/WhatsApp,Both,Laptop or desktop,AI and jobs,4,3,Could be simpler.,Yes,Include more local examples,"36-45, Dhaka"
461,Banker,LinkedIn,Both,Laptop or desktop,AI and jobs,5,4,A bit confusing on specific government policies.,Yes,Better regional language understanding,"46-55, Dhaka"
462,Student,University,Both,Phone,What AI is,4,3,,Yes,Help with specific university subjects,"18-24, Barishal"
463,Student,Facebook/WhatsApp,Bengali,Phone,Something else (Scholarships/Studies),5,3,Could be simpler.,Yes,Add voice input in Bengali,"20-25, Chattogram"
464,Housewife,Other,Bengali,Phone,What AI is,3,3,,Yes,Better regional language understanding,"50+, Khulna"
465,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,What AI is,5,3,,Yes,Provide business advice in simple Bangla,"50+, Rajshahi"
466,Small Business Owner,Friend or family,Bengali,Phone,Something else (How to grow business),5,4,A bit confusing on specific government policies.,Yes,Make it faster,"50+, Dhaka"
467,Student,University,Both,Tablet,Something else (Scholarships/Studies),5,5,,Maybe,Better regional language understanding,"19-23, Rajshahi"
468,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Daily life),3,4,,Yes,Make it faster,"25-35, Bogura"
469,IT Professional,LinkedIn,Bengali,Laptop or desktop,AI and jobs,3,3,A bit confusing on specific government policies.,No,Add voice input in Bengali,"41-50, Dhaka"
470,Banker,Friend or family,English,Laptop or desktop,Something else (Banking automation),5,2,,Maybe,More accurate financial terminology in Bengali,"36-45, Dhaka"
471,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),3,4,,Maybe,Offline support through SMS,"50+, Barishal"
472,BCS Cadre,Facebook/WhatsApp,Both,Phone,AI and jobs,3,4,A bit confusing on specific government policies.,No,Add voice input in Bengali,"28-35, Barishal"
473,Banker,LinkedIn,Both,Laptop or desktop,AI and jobs,4,5,Could be simpler.,Yes,Make it faster,"46-55, Dhaka"
474,BCS Cadre,Friend or family,Bengali,Laptop or desktop,AI and jobs,4,4,,Yes,Offline support through SMS,"46-55, Barishal"
475,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),4,5,Could be simpler.,Yes,Include more local examples,"36-50, Khulna"
476,BCS Cadre,Facebook/WhatsApp,Both,Laptop or desktop,AI in government or policy,5,3,,Yes,Make it faster,"28-35, Chattogram"
477,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Daily life),5,4,A bit confusing on specific government policies.,Yes,Add voice input in Bengali,"50+, Dhaka"
478,Small Business Owner,Friend or family,Bengali,Phone,What AI is,3,4,A bit confusing on specific government policies.,No,Include loan information or SME resources,"36-50, Cumilla"
479,Housewife,Facebook/WhatsApp,Bengali,Phone,What AI is,4,5,A bit confusing on specific government policies.,Yes,Include more local examples,"50+, Sylhet"
480,Banker,Facebook/WhatsApp,Both,Laptop or desktop,AI in government or policy,5,2,Missed some local Bangladesh context.,Yes,Make it faster,"36-45, Dhaka"
481,Banker,LinkedIn,Both,Tablet,Something else (Banking automation),5,2,,Yes,Offline support through SMS,"46-55, Dhaka"
482,Banker,LinkedIn,English,Laptop or desktop,AI in government or policy,3,5,A bit confusing on specific government policies.,Yes,Offline support through SMS,"36-45, Dhaka"
483,BCS Cadre,Facebook/WhatsApp,English,Laptop or desktop,AI in government or policy,3,3,,No,Offline support through SMS,"46-55, Chattogram"
484,Student,University,Both,Laptop or desktop,What AI is,3,3,Missed some local Bangladesh context.,Maybe,Better regional language understanding,"20-25, Rangpur"
485,BCS Cadre,Friend or family,English,Tablet,AI and jobs,3,5,Missed some local Bangladesh context.,Maybe,Add circular references,"46-55, Rajshahi"
486,Student,Facebook/WhatsApp,English,Phone,AI and jobs,5,3,Could be simpler.,Yes,Include more local examples,"20-25, Chattogram"
487,IT Professional,Facebook/WhatsApp,English,Laptop or desktop,Something else (Code generation),5,4,,Yes,Add voice input in Bengali,"31-40, Dhaka"
488,Housewife,Friend or family,Both,Phone,Something else (Education for kids),4,4,A bit confusing on specific government policies.,Yes,Offline support through SMS,"25-35, Sylhet"
489,Small Business Owner,Friend or family,Bengali,Phone,Something else (Marketing),4,4,Missed some local Bangladesh context.,Maybe,Provide business advice in simple Bangla,"36-50, Chattogram"
490,IT Professional,LinkedIn,Both,Laptop or desktop,What AI is,3,4,Could be simpler.,No,Add voice input in Bengali,"41-50, Dhaka"
491,Banker,Friend or family,English,Phone,Something else (Banking automation),3,5,,Yes,More accurate financial terminology in Bengali,"36-45, Dhaka"
492,IT Professional,Facebook/WhatsApp,English,Phone,Something else (Code generation),3,3,,No,Include more local examples,"22-30, Dhaka"
493,Student,Facebook/WhatsApp,Both,Phone,AI and jobs,3,4,A bit confusing on specific government policies.,No,Help with specific university subjects,"19-23, Cumilla"
494,Banker,Friend or family,English,Laptop or desktop,AI and jobs,5,4,,Yes,More accurate financial terminology in Bengali,"46-55, Dhaka"
495,Student,University,Both,Laptop or desktop,AI and jobs,4,5,Missed some local Bangladesh context.,Yes,Better regional language understanding,"18-24, Mymensingh"
496,Banker,LinkedIn,English,Phone,AI and jobs,4,2,,Yes,Offline support through SMS,"25-35, Dhaka"
497,Small Business Owner,Friend or family,Bengali,Laptop or desktop,What AI is,3,4,A bit confusing on specific government policies.,Yes,Offline support through SMS,"36-50, Sylhet"
498,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Daily life),3,4,,Maybe,Offline support through SMS,"36-50, Bogura"
499,BCS Cadre,Friend or family,English,Laptop or desktop,AI and jobs,5,4,A bit confusing on specific government policies.,Yes,Integrate directly with MOPA guidelines,"46-55, Khulna"
500,Banker,LinkedIn,English,Laptop or desktop,AI and jobs,5,5,"No, it was helpful.",Yes,Add voice input in Bengali,"36-45, Dhaka"
